JD;Juniors Dame;;;D;2006;2013;2006;2011;True;False;;
JH;Juniors Homme;;;H;2006;2013;;;True;False;;
D1;Dames 1;;;D;1996;2005;;;True;False;;
H1;Hommes 1;;;H;1996;2005;;;True;False;;
D2;Dames 2;;;D;1986;1995;;;True;False;;
H2;Hommes 2;;;H;1986;1995;;;True;False;;
D3;Dames 3;;;D;1976;1985;;;True;False;;
H3;Hommes 3;;;H;1976;1985;;;True;False;;
D4;Dames 4;;;D;1966;1975;;;True;False;;
H4;Hommes 4;;;H;1966;1975;;;True;False;;
D5;Dames 5;;;D;1906;1965;;;True;False;;
H5;Hommes 5;;;H;1906;1965;;;True;False;;
